id,type,name
http://www.openkg.cn/COVID-19/wiki/class/C99,rdf-schema:Class,假说
http://www.openkg.cn/COVID-19/wiki/class/C100,rdf-schema:Class,过敏性疾病
http://www.openkg.cn/COVID-19/wiki/class/C101,rdf-schema:Class,抗病毒药
http://www.openkg.cn/COVID-19/wiki/class/C102,rdf-schema:Class,口
http://www.openkg.cn/COVID-19/wiki/class/C103,rdf-schema:Class,肌病
http://www.openkg.cn/COVID-19/wiki/class/C104,rdf-schema:Class,原腔动物
http://www.openkg.cn/COVID-19/wiki/class/C105,rdf-schema:Class,生物化学品
http://www.openkg.cn/COVID-19/wiki/class/C106,rdf-schema:Class,抗真菌药
http://www.openkg.cn/COVID-19/wiki/class/C107,rdf-schema:Class,硫酸盐
http://www.openkg.cn/COVID-19/wiki/class/C108,rdf-schema:Class,真菌学
http://www.openkg.cn/COVID-19/wiki/class/C109,rdf-schema:Class,女科学家
http://www.openkg.cn/COVID-19/wiki/class/C110,rdf-schema:Class,寄生虫疾病
http://www.openkg.cn/COVID-19/wiki/class/C111,rdf-schema:Class,多糖
http://www.openkg.cn/COVID-19/wiki/class/C112,rdf-schema:Class,制茶方法
http://www.openkg.cn/COVID-19/wiki/class/C113,rdf-schema:Class,临床药物
http://www.openkg.cn/COVID-19/wiki/class/C114,rdf-schema:Class,面膜
http://www.openkg.cn/COVID-19/wiki/class/C115,rdf-schema:Class,隔疾病
http://www.openkg.cn/COVID-19/wiki/class/C116,rdf-schema:Class,组织机构
http://www.openkg.cn/COVID-19/wiki/class/C117,rdf-schema:Class,外科疾病
http://www.openkg.cn/COVID-19/wiki/class/C118,rdf-schema:Class,抗癌药
http://www.openkg.cn/COVID-19/wiki/class/C119,rdf-schema:Class,牛病
http://www.openkg.cn/COVID-19/wiki/class/C120,rdf-schema:Class,附件炎
http://www.openkg.cn/COVID-19/wiki/class/C121,rdf-schema:Class,韩国人
http://www.openkg.cn/COVID-19/wiki/class/C122,rdf-schema:Class,啮齿目
http://www.openkg.cn/COVID-19/wiki/class/C123,rdf-schema:Class,幻想水浒传角色
http://www.openkg.cn/COVID-19/wiki/class/C124,rdf-schema:Class,原核生物
http://www.openkg.cn/COVID-19/wiki/class/C125,rdf-schema:Class,魔兽世界
http://www.openkg.cn/COVID-19/wiki/class/C126,rdf-schema:Class,农药名
http://www.openkg.cn/COVID-19/wiki/class/C127,rdf-schema:Class,计算机病毒
http://www.openkg.cn/COVID-19/wiki/class/C128,rdf-schema:Class,寄生虫病
http://www.openkg.cn/COVID-19/wiki/class/C129,rdf-schema:Class,著名文学家
http://www.openkg.cn/COVID-19/wiki/class/C130,rdf-schema:Class,美白
http://www.openkg.cn/COVID-19/wiki/class/C131,rdf-schema:Class,感染者
http://www.openkg.cn/COVID-19/wiki/class/C132,rdf-schema:Class,甲类传染病
http://www.openkg.cn/COVID-19/wiki/class/C133,rdf-schema:Class,日本小说家
http://www.openkg.cn/COVID-19/wiki/class/C134,rdf-schema:Class,马病
http://www.openkg.cn/COVID-19/wiki/class/C135,rdf-schema:Class,猝倒病
http://www.openkg.cn/COVID-19/wiki/class/C136,rdf-schema:Class,性传播疾病
http://www.openkg.cn/COVID-19/wiki/class/C137,rdf-schema:Class,缨翅目
http://www.openkg.cn/COVID-19/wiki/class/C138,rdf-schema:Class,口腔科疾病
http://www.openkg.cn/COVID-19/wiki/class/C139,rdf-schema:Class,群
http://www.openkg.cn/COVID-19/wiki/class/C140,rdf-schema:Class,线虫动物门
http://www.openkg.cn/COVID-19/wiki/class/C141,rdf-schema:Class,植物科名
